"date","longitude","latitude","city","state","dnr_zero","population"
2010,-157.858093,21.315603,"Honolulu","Hawaii","Did Not Report",867258
2010,-91.18699,30.443342,"Baton Rouge","Louisiana","Did Not Report",NA
2010,-86.80249,33.52066,"Birmingham","Alabama","Did Not Report",NA
2010,-88.15354,41.75084,"Neperville","Illinois","Did Not Report",NA
2010,-106.763654,32.31994,"Las Cruces","New Mexico","Did Not Report",102227
2011,-157.858093,21.315603,"Honolulu","Hawaii","Did Not Report",867258
2011,-91.18699,30.443342,"Baton Rouge","Louisiana","Did Not Report",NA
2011,-86.80249,33.52066,"Birmingham","Alabama","Did Not Report",NA
2011,-88.15354,41.75084,"Neperville","Illinois","Did Not Report",NA
2011,-122.435337,45.506276,"Gresham","Oregon","Did Not Report",110901
2011,-106.763654,32.31994,"Las Cruces","New Mexico","Did Not Report",102227
2012,-157.858093,21.315603,"Honolulu","Hawaii","Did Not Report",867258
2012,-91.18699,30.443342,"Baton Rouge","Louisiana","Did Not Report",NA
2012,-86.80249,33.52066,"Birmingham","Alabama","Did Not Report",NA
2012,-86.300077,32.380153,"Montgomery","Alabama","Did Not Report",NA
2012,-90.180487,32.298694,"Jackson","Mississippi","Did Not Report",170508
2012,-122.435337,45.506276,"Gresham","Oregon","Did Not Report",110901
2012,-106.763654,32.31994,"Las Cruces","New Mexico","Did Not Report",102227
2012,-122.989827,45.522894,"Hillsboro","Oregon","Did Not Report",101206
2013,-157.858093,21.315603,"Honolulu","Hawaii","Did Not Report",867258
2013,-91.18699,30.443342,"Baton Rouge","Louisiana","Did Not Report",NA
2013,-86.80249,33.52066,"Birmingham","Alabama","Did Not Report",NA
2013,-86.300077,32.380153,"Montgomery","Alabama","Did Not Report",NA
2013,-83.36,33.95,"Athens-Clarke County","Georgia","Did Not Report",NA
2013,-122.435337,45.506276,"Gresham","Oregon","Did Not Report",110901
2013,-106.763654,32.31994,"Las Cruces","New Mexico","Did Not Report",102227
2013,-122.989827,45.522894,"Hillsboro","Oregon","Did Not Report",101206
2014,-157.858093,21.315603,"Honolulu","Hawaii","Did Not Report",867258
2014,-122.676207,45.523452,"Portland","Oregon","Did Not Report",628192
2014,-91.18699,30.443342,"Baton Rouge","Louisiana","Did Not Report",NA
2014,-86.80249,33.52066,"Birmingham","Alabama","Did Not Report",NA
2014,-86.300077,32.380153,"Montgomery","Alabama","Did Not Report",NA
2014,-88.15354,41.75084,"Neperville","Illinois","Did Not Report",NA
2014,-72.674017,41.763493,"Hartford","Connecticut","Did Not Report",NA
2014,-83.36,33.95,"Athens-Clarke County","Georgia","Did Not Report",NA
2014,-86.59,34.73,"Huntsville","Alabama","Did Not Report",190106
2014,-122.435337,45.506276,"Gresham","Oregon","Did Not Report",110901
2014,-106.763654,32.31994,"Las Cruces","New Mexico","Did Not Report",102227
2014,-122.989827,45.522894,"Hillsboro","Oregon","Did Not Report",101206
2015,-157.858093,21.315603,"Honolulu","Hawaii","Did Not Report",867258
2015,-81.656217,30.331474,"Jacksonville","Florida","Did Not Report",867258
2015,-122.676207,45.523452,"Portland","Oregon","Did Not Report",628192
2015,-80.197728,25.774813,"Miami","Florida","Did Not Report",437969
2015,-82.459269,27.946532,"Tampa","Florida","Did Not Report",364383
2015,-81.377389,28.538234,"Orlando","Florida","Did Not Report",268438
2015,-82.638757,27.771192,"St. Petersburg","Florida","Did Not Report",255821
2015,-80.281499,25.826984,"Hialeah","Florida","Did Not Report",238132
2015,-86.59,34.73,"Huntsville","Alabama","Did Not Report",190106
2015,-80.143557,26.12367,"Fort Lauderdale","Florida","Did Not Report",178598
2015,-81.95694,26.629823,"Cape Coral","Florida","Did Not Report",173844
2015,-90.180487,32.298694,"Jackson","Mississippi","Did Not Report",170508
2015,-80.160077,26.010411,"Hollywood","Florida","Did Not Report",149822
2015,-80.220517,25.982051,"Miramar","Florida","Did Not Report",138330
2015,-122.435337,45.506276,"Gresham","Oregon","Did Not Report",110901
2015,-80.125218,26.231453,"Pompano Beach","Florida","Did Not Report",107656
2015,-81.947858,28.044192,"Lakeland","Florida","Did Not Report",103498
2015,-106.763654,32.31994,"Las Cruces","New Mexico","Did Not Report",102227
2015,-122.989827,45.522894,"Hillsboro","Oregon","Did Not Report",101206
2015,-80.252116,26.076478,"Davie","Florida","Did Not Report",100612
2007,-117.874457,33.74958,"Santa Ana","California","Reported 0 in at least 1 quarter",340223
2004,-112.240898,33.577312,"Peoria","Arizona","Reported 0 in at least 1 quarter",NA
